Feature,Importance
energy_rolling_mean_3h,0.5264535935308335
energy_lag_2h,0.2357138736558228
energy_lag_1h,0.23406163403164962
zone3_heat_index,0.001002407132521726
zone3_temperature,0.0009577948551458311
zone1_heat_index,0.0006751015504344823
zone1_temperature,0.000623691497416877
avg_zone_humidity,0.00030258258424346044
zone2_temperature,0.00012154164839784516
zone6_temperature,8.77795135338143e-05
